,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,ADULT,VOTING,Mean
B0,0.8511,0.8519,0.9528,0.7922,0.7273,0.7143,0.9351,0.8442,0.8701,0.8896,0.7987,0.9618,0.8491
B1,0.8085,0.8519,0.9245,0.7662,0.7143,0.7078,0.9351,0.8442,0.8636,0.8961,0.7987,0.9618,0.8394
B2,0.8298,0.8642,0.9151,0.7143,0.7208,0.7143,0.9351,0.8312,0.8766,0.8896,0.7662,0.7077,0.8137
B3,0.8085,0.8519,0.9434,0.8052,0.7208,0.6883,0.8896,0.7922,0.8377,0.8896,0.7662,0.9615,0.8296
B-CIRL-TFM,0.8723,0.8519,0.9528,0.7857,0.7273,0.7078,0.9481,0.8636,0.8506,0.8896,0.7987,0.9618,0.8508
